DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
07-Oct-08,NO 15/9-F-12 H,"387,130"
08-Oct-08,NO 15/9-F-12 H,"386,724"
09-Oct-08,NO 15/9-F-12 H,"385,384"
10-Oct-08,NO 15/9-F-12 H,"387,184"
11-Oct-08,NO 15/9-F-12 H,"390,609"
12-Oct-08,NO 15/9-F-12 H,"400,415"
13-Oct-08,NO 15/9-F-12 H,"399,787"
14-Oct-08,NO 15/9-F-12 H,"399,680"
15-Oct-08,NO 15/9-F-12 H,"400,424"
16-Oct-08,NO 15/9-F-12 H,"400,175"
17-Oct-08,NO 15/9-F-12 H,"400,159"
18-Oct-08,NO 15/9-F-12 H,"359,282"
19-Oct-08,NO 15/9-F-12 H,"382,646"
20-Oct-08,NO 15/9-F-12 H,"377,858"
21-Oct-08,NO 15/9-F-12 H,"375,510"
22-Oct-08,NO 15/9-F-12 H,"489,182"
23-Oct-08,NO 15/9-F-12 H,"479,918"
24-Oct-08,NO 15/9-F-12 H,"490,794"
25-Oct-08,NO 15/9-F-12 H,"504,092"
26-Oct-08,NO 15/9-F-12 H,"547,535"
27-Oct-08,NO 15/9-F-12 H,"526,226"
28-Oct-08,NO 15/9-F-12 H,"534,003"
29-Oct-08,NO 15/9-F-12 H,"405,405"
30-Oct-08,NO 15/9-F-12 H,"494,826"
31-Oct-08,NO 15/9-F-12 H,"499,794"
01-Nov-08,NO 15/9-F-12 H,"388,670"
02-Nov-08,NO 15/9-F-12 H,"632,394"
03-Nov-08,NO 15/9-F-12 H,"720,457"
04-Nov-08,NO 15/9-F-12 H,"738,155"
05-Nov-08,NO 15/9-F-12 H,"734,343"
06-Nov-08,NO 15/9-F-12 H,"746,223"
07-Nov-08,NO 15/9-F-12 H,"728,626"
08-Nov-08,NO 15/9-F-12 H,"730,423"
09-Nov-08,NO 15/9-F-12 H,"725,815"
10-Nov-08,NO 15/9-F-12 H,"719,058"
11-Nov-08,NO 15/9-F-12 H,"720,766"
12-Nov-08,NO 15/9-F-12 H,"722,185"
13-Nov-08,NO 15/9-F-12 H,"723,021"
14-Nov-08,NO 15/9-F-12 H,"726,188"
15-Nov-08,NO 15/9-F-12 H,"725,356"
16-Nov-08,NO 15/9-F-12 H,"724,025"
17-Nov-08,NO 15/9-F-12 H,"723,171"
18-Nov-08,NO 15/9-F-12 H,"724,334"
19-Nov-08,NO 15/9-F-12 H,"744,776"
20-Nov-08,NO 15/9-F-12 H,"729,921"
21-Nov-08,NO 15/9-F-12 H,"505,370"
